ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5684734,HN487314,07/25/2007 01:10:00 AM,116XX S PRAIRIE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0532,005,9,53,15,1180007,1827551,2007,04/15/2016 08:55:02 AM,41.682066113,-87.616701032,"(41.682066113, -87.616701032)"
5684735,HN374780,05/30/2007 07:07:37 PM,008XX N TRUMBULL AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1121,011,27,23,18,1153229,1905306,2007,04/15/2016 08:55:02 AM,41.896006811,-87.712669898,"(41.896006811, -87.712669898)"
5684737,HN374831,05/30/2007 06:45:00 PM,039XX W VAN BUREN ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1132,011,24,26,26,1150225,1897735,2007,04/15/2016 08:55:02 AM,41.875290275,-87.723900523,"(41.875290275, -87.723900523)"
5684738,HN493650,07/28/2007 03:00:00 AM,047XX S ELLIS AVE,0460,BATTERY,SIMPLE,APARTMENT,true,false,2124,002,4,39,08B,1183715,1873834,2007,04/15/2016 08:55:02 AM,41.80898616,-87.601687196,"(41.80898616, -87.601687196)"
5684739,HN375424,05/31/2007 01:30:00 AM,039XX W VAN BUREN ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,1132,011,24,26,18,1150205,1897734,2007,04/15/2016 08:55:02 AM,41.875287921,-87.723973982,"(41.875287921, -87.723973982)"
5684740,HN358909,05/22/2007 07:45:00 PM,037XX W ROOSEVELT RD,2027,NARCOTICS,POSS: CRACK,ALLEY,true,false,1133,011,24,29,18,1151781,1894457,2007,04/15/2016 08:55:02 AM,41.866264617,-87.718273702,"(41.866264617, -87.718273702)"
5684742,HN427226,06/24/2007 06:00:00 PM,015XX W SHERWIN AVE,0810,THEFT,OVER $500,STREET,false,false,2423,024,49,1,06,1164753,1948738,2007,04/15/2016 08:55:02 AM,42.014949623,-87.669108275,"(42.014949623, -87.669108275)"
5684743,HN492033,07/27/2007 11:30:00 AM,048XX S DREXEL BLVD,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,2124,002,4,39,08A,1183005,1873052,2007,04/15/2016 08:55:02 AM,41.806856848,-87.604315633,"(41.806856848, -87.604315633)"
5684745,HN410344,06/17/2007 12:51:29 AM,062XX S MONITOR AVE,2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,RESIDENCE,true,false,0812,008,13,64,22,1138479,1862611,2007,04/15/2016 08:55:02 AM,41.779125267,-87.767876599,"(41.779125267, -87.767876599)"
5684746,HN358064,05/22/2007 01:30:00 PM,032XX W WARREN BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1123,011,28,27,18,1154757,1900163,2007,04/15/2016 08:55:02 AM,41.881863449,-87.707195677,"(41.881863449, -87.707195677)"
